Country/Region,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,Death Rate,Recovery Rate
US,4290259,148011,1325804,2816444,56336,1076,27941,3.4499315775574386,30.902656459668286
Uganda,1128,2,986,140,13,0,4,0.1773049645390071,87.41134751773049
Ukraine,67096,1636,37202,28258,835,11,317,2.438297364969596,55.44592822224872
United Arab Emirates,59177,345,52510,6322,264,1,328,0.5829967723946804,88.73379860418744
United Kingdom,301708,45844,1437,254427,688,7,3,15.194824134593713,0.47628833176448754
Uruguay,1202,35,951,216,10,1,3,2.9118136439267883,79.11813643926789
Uzbekistan,21209,121,11674,9414,678,5,569,0.5705125182705455,55.042670564383045
Venezuela,15988,146,9959,5883,525,4,213,0.9131848886664998,62.29046785088816
Vietnam,431,0,365,66,11,0,0,0.0,84.68677494199535
West Bank and Gaza,10621,78,3752,6791,152,2,0,0.7343941248470013,35.326240466999344
Western Sahara,10,1,8,1,0,0,0,10.0,80.0
Yemen,1691,483,833,375,10,4,36,28.562980484920164,49.260792430514485
Zambia,4552,140,2815,1597,71,1,465,3.0755711775043935,61.840949033391915
Zimbabwe,2704,36,542,2126,192,2,24,1.3313609467455623,20.04437869822485
